state,year,population
Wisconsin,1860,775881
West Virginia,1860,376688
Washington,1860,11594
Virginia,1860,1219630
Vermont,1860,315098
Utah,1860,40273
Texas,1860,604215
Tennessee,1860,1109801
South Dakota,1860,4837
South Carolina,1860,703708
Rhode Island,1860,174620
Pennsylvania,1860,2906215
Oregon,1860,52465
Ohio,1860,2339511
North Carolina,1860,992622
New York,1860,3880735
New Mexico,1860,93516
New Jersey,1860,672035
New Hampshire,1860,326073
Nevada,1860,6857
Nebraska,1860,28841
Missouri,1860,1182012
Mississippi,1860,791305
Minnesota,1860,172023
Michigan,1860,749113
Massachusetts,1860,1231066
Maryland,1860,687049
Maine,1860,628279
Louisiana,1860,708002
Kentucky,1860,1155684
Kansas,1860,107206
Iowa,1860,674913
Indiana,1860,1350428
Illinois,1860,1711951
Georgia,1860,1057286
Florida,1860,140424
District of Columbia,1860,75080
Delaware,1860,112216
Connecticut,1860,460147
Colorado,1860,34277
California,1860,379994
Arkansas,1860,435450
Wisconsin,1850,305391
West Virginia,1850,302313
Washington,1850,1201
Virginia,1850,1119348
Vermont,1850,314120
Utah,1850,11380
Texas,1850,212592
Tennessee,1850,1002717
South Carolina,1850,668507
Rhode Island,1850,147545
Pennsylvania,1850,2311786
Oregon,1850,12093
Ohio,1850,1980329
North Carolina,1850,869039
New York,1850,3097394
New Mexico,1850,61547
New Jersey,1850,489555
New Hampshire,1850,317976
Missouri,1850,682044
Mississippi,1850,606526
Minnesota,1850,6077
Michigan,1850,397654
Massachusetts,1850,994514
Maryland,1850,583034
Maine,1850,583169
Louisiana,1850,517762
Kentucky,1850,982405
Iowa,1850,192214
Indiana,1850,988416
Illinois,1850,851470
Georgia,1850,906185
Florida,1850,87445
District of Columbia,1850,51687
Delaware,1850,91532
Connecticut,1850,370792
California,1850,92597
Arkansas,1850,209897
Wisconsin,1840,30945
West Virginia,1840,224537
Virginia,1840,1025227
Vermont,1840,291948
Tennessee,1840,829210
South Carolina,1840,594398
Rhode Island,1840,108830
Pennsylvania,1840,1724033
Ohio,1840,1519467
North Carolina,1840,753419
New York,1840,2428921
New Jersey,1840,373306
New Hampshire,1840,284574
Missouri,1840,383702
Mississippi,1840,375651
Michigan,1840,212267
Massachusetts,1840,737699
Maryland,1840,470019
Maine,1840,501793
Louisiana,1840,352411
Kentucky,1840,779828
Iowa,1840,43112
Indiana,1840,685866
Illinois,1840,476183
Georgia,1840,691392
Florida,1840,54477
District of Columbia,1840,33745
Delaware,1840,78085
Connecticut,1840,309978
Arkansas,1840,97574
Wisconsin,1830,3635
West Virginia,1830,176924
Virginia,1830,1044054
Vermont,1830,280652
Tennessee,1830,681904
South Carolina,1830,581185
Rhode Island,1830,97199
Pennsylvania,1830,1348233
Ohio,1830,937903
North Carolina,1830,737987
New York,1830,1918608
New Jersey,1830,320823
New Hampshire,1830,269328
