,bf_id,full_date,title,state_code,state,latitude,longitude,geohash_5,geohash_6,geohash_7,geohash,date,year,month,day,season,temperature_mid,dew_point,cloud_cover,moon_phase,precip_type,classification,observed,solar_kp_index,solar_ap_index
0,76,2001-08-11,Report 76: Three fisherman hear thrashing about and loud vocalizations,AR,Arkansas,36.37139,-92.25139,9yqqu,9yqquv,9yqquv0,9yqquv0wdy,2001-08-11,2001,8,11,Summer,80.0,69.0,0.33,0.73,rain,Class B,"I DID NOT SEE ANYTHING.  I DID HEAR A LOT.  WHILE IN A BOAT FISHING WITH TWO FRIENDS WE WERE ALONG THE SHORE LINE JOKING AROUND AND TRYING TO CATCH SOMETHING WHEN WE HEARD A VERY LARGE ANIMAL RUSTLING IN THE WOODS.  THE ANIMAL/OBJECT WAS NOT ALL THAT FAR FROM US BUT WE COULD NOT SEE DUE TO THE DENSE VEGITATION AND THE LOW LIGHT CONDITION.  THE CREATURE DID SOUND TO BE VERY LARGE AND THE THRASHING OF THE VEGITATION BECAME LOUDER.  THE THREE OF US IN THE BOAT DID BEGIN TO SPECULATE WHAT WE WERE HEARING AND NONE OF US WERE WORRIED UNTIL WE HEARD THE SHRILL FROM THIS ANIMAL.  IT CAN ONLY BE DESCRIBED AS VERY LOUD, BONE CHILLING AND IN DID STRIKE FEAR IN ALL OF US.  WE BEGAN TO PULL OUR LINES AND START THE BOAT ASAP TO LEAVE THE AREA AND THE ANIMAL BEGAN TO RUN AWAY FROM OUR LOCATION.  I THINK THE DIRECTION WAS S/E.  WE STILL COULD HEAR THE ANIMAL MOVING THROUGH THE DENSE VEGITATION AT A FAST FACE WITH NO APPARENT PROBLEM.  THE ANIMAL CONTINUED TO SHRILL ON OCCASION STOPP ING APPROX. EVERY 200YDS.  THE DISTANCE THE FINAL SHRILL WAS HEARD AT WAS APPROX. 1/4 TO 1/2 A MILE AWAY THROUGH DENSE WOODS, UP HILL.  THE TIME FRAME WHICH THIS TOOK PLACE IN WAS SO FAST WE WERE UNABLE TO THINK OF AN ANIMAL WHICH COULD SOUND SO LARGE, HAVE SUCH A DEEP SHRILL, AND MOVE SO FAST.  THE SHRILL WAS NOT AS ANY OTHER ANIMAL I HAVE EVER HEARD NOR WAS IT TO THE TWO OTHER PEOPLE I WAS WITH.  THE SHRILL WAS LATER HEARD BY BE APPROX. 2YRS LATER WHILE ON MY WAY HOME FROM WORK IN WI.  I WAS LISTENING TO ART BELL AND BIG FOOT WAS THE TOPIC AND SOMEBODY HAD AN AUDIO OF A BIG FOOT.  WHEN THE AUDIO WAS PLAYED I AGAIN BECAME AFRAID, SPEACHLESS, THE HAIR ON MY NECK STOOD UP AND MY EYES TEARED.",2.0,7
1,77,1983-09-01,Report 77: Couple hear vocalizations while camping at Milk Lake,WA,Washington,46.98333,-121.0922,c23gk,c23gk3,c23gk3p,c23gk3p3ep,1983-09-01,1983,9,1,Fall,53.0,46.0,0.68,0.8,rain,Class B,"We had driven into Milk pond, up Chinook pass, about 30 miles from Yakima, Washington. We were headed to Milk Lake, thats up about 5-7 miles above the pond, we got into the spot late, so we just drove past the pond and found a small area we could part our truck and cabover camper. We ate a quick dinner, and went to bed, we never walked around or made any noise, so I don't think they evey knew we were there. You couldn't see our truck from the pond. In the middle of the night, The frogs from the pond stopped croking, and this loud whistling and clicking noise started, I asked my Husband what it was, and he said he thought it was a Bigfoot. It went on for about 15 min. Then stopped. The next morning I walk all around the pound, hope to see a foot print but didn't. We then went up the hill to the lake. No other people were aound, and while we were fishing we heard the strangest thing, it sounded like someone picked up a 55 gallon metel drum and threw it on the ground, I went in the direction of the noise, but could see or hear anything, but we had thet feeling of being watched. very creapy. So we left. Keep up the good work, i think they are very interesting, would like to meet one, and give them a bag to carry thing in, I think they would like that. Dyann",4.333,32
2,85,2000-06-08,Report 85: 16 year old has strange experience walking home,OR,Oregon,45.03255,-122.4808,c20bh,c20bhv,c20bhvu,c20bhvujwe,2000-06-08,2000,6,8,Spring,54.0,50.0,0.98,0.23,rain,Class B,"Right off the bat, I'll tell you I'm a 16 year old kid telling absolutely the truth, so god strike me dead. I hope you don't take my report as bogus because of that. Let me explain my situation to you: I live, and have lived, on the Molalla river for most of my life and never thought twice about walking around at night or anywhere period. About 2 months ago, I was alone in my Grandmas house using the computer, when I decided to go home (my house is only about 50 yards away). As I was stepping outside the most hideous feeling of being alone and fear thumped my heart. I kept walking in terror, when all of the sudden about 30 feet off to my right, I heard a loud thumping sound crash out. From there on, being distorted by my act of running faster than I've ever moved before, I could swear I heard the distinctive two-legged footsteps veering toward me from off the trail between houses. I raced in my house, slammed the door, locked it and sat in the living room to calm down from my strange experience.The oddest feelings flushed through me then, and now. Now, before you dismiss my story as a frightened child running from noises, I'll have to tell you of the strange past our 45 acres of land at the end of the Dickey Prairie road has had: Around three years ago, when we had cattle and cows fenced on our property, I noticed casually how they would always stay together and go near the barns at night. Then one day we discovered two of them killed up in the woods by the drinking creek. The killings weren't average killings either. The cows didn't have a scratch on them, both had broken necks and their eyeballs sucked cleanly out. Since those experiences, I'm now scared to go hiking and travel at night. Yes, average signs of fear, but I have the weird feeling of being an 'Intruder'. Thank you for your time sincerely, Shawn Murray p.s. I'm a believer.",2.667,12
3,96,1978-06-25,Report 96: Young camper frightened by large hand gathering berries,OR,Oregon,43.7827,-123.9599,9pzc5,9pzc54,9pzc54r,9pzc54rhsy,1978-06-25,1978,6,25,Summer,59.0,52.0,0.83,0.68,rain,Class B,"In July of 1978 when I was just 7 years old, I traveled to Oregon with my family to visit relatives. We spent 3 weeks in the state and I was lucky enough to see what I think was Bigfoot. We had camped in an area that was dense and close to a shallow river. It was almost like the camp was a bald spot with a wall of brush and trees around it. There was a trail that led to the shallow river and although it probably wasn't far, seemed so to me. The late afternoon was sunny and warm and everyone but my cousin, my uncle, and myself went to look for herds of elk or antelope. We had campers to sleep in, and my uncle and my cousin were both napping when this sighting occured. I was outside one of the campers playing when I heard a rustling of underbrush.I never smelled anything that I can remember, or heard a sound other than the rustling. When I looked up, I noticed that a small sapling...maybe the size of the end of a baseball bat, just bent completely over.This sapling was behind a thick wall of what appeared to be some sort of a berry bush. I am not sure what kind, though. I was curious and walked over to where I had seen the sapling bend over, thinking that there was a squirrel hanging on to it or something. That is when a large hand reached out from behind this brush and grabbed a handful of berries. I had to be 8 or 10 feet away at the time. The hand was huge with long reddish brown hair. It was clear that it was a hand and NOT a paw. I stood there in total shock.When I managed to run, I ran for my life. It did not chase me or anything, but I saw all that I wanted to see of it. The hand was scary enough, I probably would have died of fright had I seen the rest of it. I got back into camp which was not far away, but far enough for my napping cousin and uncle not to hear anything. I never screamed or made a sound, I just ran and sat as close to that camper as I could. I realized when I sat down in the fine dirt that I had wet my shorts.I was 7 years old and I had never done that before! I kept my mouth shut until my Mother and my other uncles and aunts (That were from Oregon) got back from antelope/elk sightseeing. I told them everything and they told me that it had to have been a bear. I described the color of the hair and I was told that it must have been black hair that I had seen, because this area only had black bears. I wasn't stupid. I knew the difference between a hand and a paw and the difference between reddish brown and black. I managed to let them convince me that it must have been a bear and we left and came back to our home state of Mississippi. A few years later I was in 6th grade. We had a library period and we could look for and check out books. I found a book with a black cover and if I am not mistaken, the title was ""Bigfoot"". I hurried to check this book out and read it from cover to cover. It wasn't until that moment that I figured out that the animal that I had seen those years earlier had a name. I had never been so excited in my life! Ever since, I have been interested in all sightings, shows, books, etc. of the Bigfoot/Sasquatch/Yeti/Skunkape. I have thought about telling my story for years, but I, like everyone else, have been afraid of the teasing and skeptisism of others. My family says ""We believe that YOU believe what you saw."" I will believe it until the day I die. I am 29 now and I hope that the mystery will be solved in my lifetime. My husband and my son believe me more than my Mom, Dad, Aunts, Uncles and cousins. I am very genuine and honest and I would never lie about something like that. I don't know why I was one of the chosen people to have had the opportunity to see even just a tiny part of this mysterious creature. I figured I'd just ask God when I get to heaven.",2.667,12
4,97,1992-10-01,Report 97: Hunter sees footprints near Alturas,CA,California,41.72278,-120.3292,9r6mm,9r6mmg,9r6mmg6,9r6mmg6uy3,1992-10-01,1992,10,1,Winter,58.0,32.0,0.18,0.19,rain,Class B,"I think it was 1992 when this happened. The only people I told were my dad and uncle who were deer hunting with me at the time. I had left our camp before sunrise so I would be deep into the woods when the sun came up. I had just come out of the tree line into a clearing when I got a feeling something was watching me, I thought it was probably just deer but as I went across the clearing out into the open I felt really strange like something just glaring at me. I walked east into the sun and wind to the edge of the bank where there was still paches of snow on the ground because this was early October in X3B deer hunting zone. That's when I saw half a foot print in the snow.  It looked like the heal of a human foot only this one was about 8 inches wide. Then around 6 feet towards the edge of the bank was the front half of another print with five toes only they were big around like a man's bare foot would have been after the snow melted around it, but they were not from a man and the tracks were fresh. I looked over the edge of the bank and the side was all flat rock shail that looked like it had been recently disturbed. About 100 yards down was thick timber and as I looked down into it I felt like something was looking right up at me. I felt chills big time right then and felt like I needed to get away from there. Thats all that happend but I really think there was something down there that either saw me or heard me at least half a mile away because I was hunting with the wind in my face.",4.0,27
5,102,2000-08-19,"Report 102: Couple hears unknown howl, later finds possible deformed track",OR,Oregon,45.7351,-123.466,c20hn,c20hnm,c20hnmy,c20hnmyf38,2000-08-19,2000,8,19,Summer,47.0,49.0,0.77,0.65,rain,Class B,"This weekend 8/19/00 while hunting off of Salmonberry Road off HWY 26.  I was looking for bear tracks on a trail that I have hunted before; anyway,  when I came out at the trails end on one of the logging roads I decided to take a walk up the road with my fiance.  I always keep an eye on the sides of the raods for traks to see where an animal may have crossed. Well about a half a mile up I saw a track, with very decerable toes (5) and I put my foot up nxt to the print, I am a size 12 and the print was about the same.  The funny thing was, the print looked like the foot was broken and healed wrong, I do know that it was not human and it deffinatly was not any type of animal I hunt for.  My fiance also saw this print as well. As we first hit the trail,  I should mention we both herd a howl the likes of nothing I have never heard before in my LIFE, the hair on the back of my neck stood on end, even my fiance said that it was the wierdest thing she ever heard.  There was no noticable odor in the air at that time.  This was all in the morning at about 6:10am. I will be checking this area again in about a week.  I will not forget that howl\moan for as long as I live.  It is monday and I can still hear it in my head.",1.0,4
6,113,1975-10-01,"Report 113: Son and friend find footprints. Later something stalks them along riverbank, incident retold by his father",KS,Kansas,37.44208,-95.35479,9ysjn,9ysjn0,9ysjn0h,9ysjn0hgbm,1975-10-01,1975,10,1,Fall,49.0,42.0,0.21,0.87,rain,Class B,"Although I, nor my boys have actually seen a bigfoot, they have seen strong evidence of one. About 1975, my son and his friend found large tracks in fresh snow south of Galesburg, KS.  They followed these tracks for about a half mile until they stopped under an old railroad trestle. Sometime later, they were checking limb lines about 12:30 AM in their boat in the same area. The night was very dark and although they had a flashlight, all it would reveal was the immediate brush along the creek. As they paddled along, they kept hearing something in the brush which they assumed was a deer. A few minutes later, a huge rock came flying downward in front of their boat and hit the water. Whatever it was had to be either human, or a human type of creature. It is unlikely to have been a person since that side of the creek is avoided because of its inaccessability and very heavy brush.",3.0,15
7,115,1976-08-15,Report 115: Young girls have daylight sighting near their home,FL,Florida,30.98555,-85.6489,dje07,dje070,dje0708,dje0708rgv,1976-08-15,1976,8,15,Summer,84.0,72.0,0.22,0.68,rain,Class A,"My brother had built a hut (fort) in the woods right at the edge of the woods by our home. That morning, my little sister (age 5) and myself (age 9) went out to the hut. It was just after daybreak. The first thing we noticed was the smell. It was awful, very foul. We then heard something large walking through the woods. At this point,  I grabbed my sister and ran into the gully behind the hut to hide. After we were in the gully, we heard a growling sound. It would growl for a few minutes and then stop, and then growled one more time. Then we saw this huge thing standing at the edge of the woods. It was very tall, and broad. It was standing there on two legs with a human-like shape. It had hair that was brownish/red in color.This was not a bear. It was standing approximately 50 to 70 feet from us. The trees and bushes were obscurring it a small amount. It walked up to within a few feet of the hut, then turned and walked away. We were terrified. After it left, we ran home.",0.0,0
8,140,1996-08-24,Report 140: Characteristic vocalization heard by hunter on Hayden Mountain,CO,Colorado,38.48959,-107.7,9wg6v,9wg6vn,9wg6vnz,9wg6vnz605,1996-08-24,1996,8,24,Summer,68.0,48.0,0.01,0.35,rain,Class B,"This incident was a scream we heard on the opening day of archery dear and elk season in Western Colorado.  My hunting partner and I had left our camp before dawn to make the final climb into Fall Creek basin from just below the mouth of the basin (approximately 300 yards)  After hunting the basin we exited out the mouth of the basin and instead of returning to our camp we headed north to the next basin over, Thistledown Creek.  From the dark timber near our camp, we were now approximately 500 yards away and a couple hundred feet higher in elevation.  An extemely loud blood curdling scream lasting several seconds boomed out from the direction of our camp.  There clearly was nothing between our position and the dark timber where our camp was located. Yet the scream was unbelievably loud.  It happened just once.  After gaining control of our senses, we concluded it must have been a mountain lion. I talked to a few hunting guides I know who specialize in hunting mountain lions.  None of them could verify the sound of the scream I described as being from a mountain lion.  I did not consider it to be a Bigfoot until I heard a recording of what was thought to be a Bigfoot on a cable TV special aired this summer in July.  Since then, I have pondered that scream I heard in 1996.  Then my brother told me about this website.",2.333,9
9,147,2000-06-15,Report 147: Sound reports from resident in South Lake Tahoe,CA,California,38.93333,-119.9833,9qftm,9qftmx,9qftmxw,9qftmxwg46,2000-06-15,2000,6,15,Summer,65.0,45.0,0.0,0.46,rain,Class A,"At our home south of South Lake Tahoe, we have been hearing tell-tale screams for the last three months. I have several recordings of these screams, and have been in coordination with three of the curators involved with the BFRO for northern California. Suffice it to say that almost nightly, we have been witness to a resounding number of screams/wails which have not been attributable to coyote nor other ""known"" forms of animal call/sound.  The sounds have occurred from 9:00pm through 7:00am in the morning on a consistent basis.  I have made several recordings, mostly from my bedroom window. We have made several all-night forays into the forest in an attempt to capture the sounds. My brother and I have made extensive backpacking trips into the wilderness surrounding this area in an attempt to pin down the most likely locations for activity, and we feel we have narrowed it down very well (based upon our normal reception of sound and habitational demographic...) I have found tracks in this area which i have photographed as well as ""beds"" with torn branches/etc. which may very well be attributable to bear activity, although the screams at night are definitely not.  Areas in question are well off of the beaten path. Description:  A mournful wail. Sounds like a locator beacon (like a sonar ""ping"") usually answered by another of lower pitch, and both seem to converge at some point--after which both cease to sound.  We (my brother and I) have noticed coyote howls interspersed with the ""other"" sounds.  We have thoroughly explored the areas surrounding our location, some of which our dogs refused to enter.  We've camped out all night with bait, only to give up and head in to hear them after we've been tucked away for a good thirty minutes--leaving us dead tired with no ""substantial evidence"".",5.667,67
