bf_id,full_date,month,latitude,longitude,season,temperature_f,dew_point,cloud_cover,moon_phase
76,2001-08-11,8,36.37139,-92.25139,summer,80.0,69.1,0.33,0.73
77,1983-09-01,9,46.98333,-121.0922,fall,53.3,45.6,0.68,0.8
85,2000-06-08,6,45.03255,-122.4808,summer,53.6,49.6,0.98,0.23
96,1978-06-25,6,43.7827,-123.9599,summer,58.6,52.1,0.83,0.68
97,1992-10-01,10,41.72278,-120.3292,fall,58.3,32.0,0.18,0.19
102,2000-08-19,8,45.7351,-123.466,summer,47.1,48.6,0.77,0.65
113,1975-10-01,10,37.44208,-95.35479,fall,48.7,42.1,0.21,0.87
115,1976-08-15,8,30.98555,-85.6489,summer,83.8,72.0,0.22,0.68
140,1996-08-24,8,38.48959,-107.7,summer,68.2,47.6,0.01,0.35
147,2000-06-15,6,38.93333,-119.9833,summer,64.9,45.0,0.0,0.46
177,1988-10-19,10,39.64175,-111.2186,fall,48.9,28.8,0.0,0.3
179,1981-09-15,9,32.31435,-85.16235,fall,78.5,69.3,0.71,0.55
186,2001-08-11,8,34.55056,-92.34083,summer,82.1,73.4,0.82,0.73
187,2000-07-22,7,45.40023,-122.2777,summer,60.7,56.0,0.94,0.7
191,1984-07-31,7,45.63606,-123.3471,summer,63.3,55.7,0.38,0.12
245,1999-07-15,7,33.28375,-87.32655,summer,78.4,70.5,0.38,0.1
257,2000-09-01,9,39.9784,-84.1735,fall,77.9,71.0,0.48,0.12
273,1994-09-15,9,33.7065,-85.57415,fall,76.6,63.6,0.25,0.36
283,1992-08-29,8,47.5616,-123.1967,summer,56.0,43.8,0.0,0.06
317,1990-04-15,4,36.8207,-88.41175,spring,48.2,43.4,0.74,0.67
348,2000-08-20,8,37.57915,-105.4979,summer,48.1,42.2,0.16,0.68
353,2000-09-23,9,38.9575,-120.0914,fall,44.1,31.4,0.33,0.85
369,2006-05-31,5,41.16,-123.9,spring,59.0,50.5,0.47,0.15
378,2000-07-11,7,39.58157,-82.36887,summer,70.9,68.3,0.55,0.35
391,1999-05-12,5,47.79111,-122.1914,spring,46.7,42.4,0.99,0.9
412,1995-07-05,7,43.94225,-121.3815,summer,64.8,39.7,0.06,0.25
415,1981-10-15,10,35.5035,-89.91499,fall,73.0,60.9,0.94,0.58
416,1983-11-15,11,34.95605,-86.4559,fall,48.3,43.8,0.96,0.34
446,2000-09-22,9,30.2333,-81.52915,fall,78.7,76.8,0.33,0.81
450,2000-09-09,9,35.8934,-81.98335,fall,66.1,61.5,0.3,0.37
451,1993-08-20,8,34.9263,-87.02025,summer,81.6,74.2,0.58,0.11
470,2000-08-23,8,39.1084,-107.0153,summer,53.1,41.8,0.28,0.79
496,1977-08-15,8,37.8597,-91.432,summer,81.9,69.8,0.2,0.02
502,2000-06-17,6,39.01917,-120.8275,summer,76.6,40.3,0.0,0.53
528,1957-06-01,6,40.80222,-124.1625,summer,55.2,50.5,0.18,0.12
529,2000-09-21,9,39.2026,-106.1143,fall,44.0,32.4,0.68,0.78
548,2000-10-30,10,45.06215,-123.7027,fall,48.3,41.8,0.0,0.12
568,1990-09-22,9,46.71,-122.3442,fall,65.5,49.0,0.06,0.12
594,1980-07-15,7,26.08285,-80.21025,summer,83.7,75.0,0.9,0.11
598,2000-10-28,10,29.01175,-82.03495,fall,69.8,54.5,0.0,0.05
606,1986-08-15,8,30.05705,-81.75165,summer,81.5,72.6,0.54,0.35
638,2003-12-15,12,33.24722,-95.77,winter,54.9,46.3,0.38,0.72
690,1998-08-02,8,45.5891,-123.5469,summer,69.0,55.3,0.02,0.32
694,1991-07-15,7,45.3233,-118.2742,summer,57.0,40.6,0.0,0.15
702,1997-11-10,11,45.59669,-123.3768,fall,44.5,37.7,0.49,0.36
717,1981-08-01,8,36.63621,-93.31413,summer,78.6,68.8,0.45,0.06
729,1997-07-25,7,29.19395,-81.9233,summer,83.0,72.3,0.1,0.7
730,1996-09-15,9,30.51295,-86.5065,fall,81.5,70.2,0.59,0.08
733,1998-11-22,11,27.97255,-81.12476,fall,75.0,69.6,0.83,0.11
737,1984-06-15,6,28.3836,-82.6053,summer,81.9,70.8,0.52,0.57
747,1999-10-15,10,28.9935,-80.933,fall,77.0,72.4,0.86,0.19
751,2000-04-21,4,48.25422,-101.3166,spring,59.0,31.0,0.34,0.6
810,1997-11-15,11,43.74,-84.58583,fall,22.5,25.4,0.98,0.54
815,1987-08-15,8,43.26806,-82.53083,summer,82.0,71.2,0.43,0.72
819,1999-09-11,9,38.8922,-105.1058,fall,47.3,43.0,0.58,0.07
878,1989-08-15,8,40.15002,-83.02854,summer,74.0,63.1,0.62,0.44
880,1998-09-28,9,39.21338,-105.0652,fall,60.8,33.0,0.36,0.25
913,2000-07-01,7,38.93,-120.205,summer,51.3,30.6,0.0,0.0
928,1977-05-22,5,47.4644,-120.6705,spring,59.2,30.8,0.5,0.14
933,1989-06-14,6,45.8581,-122.4089,summer,56.2,56.9,1.0,0.35
938,1991-09-15,9,46.37944,-117.9458,fall,63.6,35.8,0.07,0.25
942,1996-04-14,4,47.7442,-122.8994,spring,57.5,37.6,0.28,0.89
956,1982-11-26,11,47.425,-121.4142,fall,22.4,15.6,0.67,0.35
959,1997-10-15,10,47.2475,-123.8886,fall,60.9,54.6,0.62,0.49
980,2001-03-05,3,45.84175,-117.991,spring,30.1,31.0,0.54,0.36
989,1982-01-15,1,30.84015,-86.9648,winter,47.4,29.7,0.41,0.71
1043,1950-05-01,5,45.75056,-121.6508,spring,40.3,40.3,0.85,0.48
1065,2001-03-20,3,45.99215,-118.0811,spring,38.8,30.0,0.0,0.87
1077,1995-04-17,4,47.8925,-122.0111,spring,47.7,39.1,0.96,0.58
1079,1981-10-15,10,28.662,-81.31985,fall,68.5,65.9,0.3,0.58
1105,1997-11-07,11,45.5,-91.71295,fall,36.4,34.8,1.0,0.25
1106,2001-01-04,1,47.9261,-123.3769,winter,28.7,27.2,0.99,0.32
1109,2000-07-15,7,47.29833,-120.3,summer,60.7,40.5,0.0,0.48
1115,1954-06-30,6,38.441,-91.6284,summer,82.5,63.9,0.44,0.01
1116,1998-11-20,11,38.46253,-93.91737,fall,42.4,31.4,0.21,0.05
1117,2000-12-28,12,41.72134,-80.88494,winter,17.1,12.0,1.0,0.09
1118,1997-06-15,6,39.8397,-91.6533,summer,73.0,62.1,0.94,0.33
1131,2000-12-01,12,47.0413,-124.053,winter,46.4,42.9,0.97,0.18
1150,2000-05-31,5,37.8602,-90.0329,spring,77.6,60.4,0.0,0.93
1160,1997-01-01,1,47.14472,-120.7967,winter,41.2,33.6,0.89,0.74
1201,1978-12-01,12,39.52122,-80.37878,winter,42.9,22.7,0.18,0.05
1202,1999-04-20,4,39.54114,-80.11329,spring,47.6,39.3,0.78,0.17
1205,1998-01-28,1,38.87813,-79.3434,winter,31.9,32.0,1.0,0.01
1206,1997-09-23,9,38.95242,-79.42547,fall,50.3,49.7,0.96,0.75
1224,2000-07-15,7,44.96651,-123.7718,summer,46.0,44.2,0.0,0.48
1242,2000-07-14,7,44.48134,-109.5113,summer,82.4,31.3,0.0,0.44
1263,2001-01-16,1,46.03333,-117.9486,winter,21.3,22.1,1.0,0.76
1265,2001-01-04,1,38.53187,-82.7989,winter,29.0,22.9,0.94,0.31
