bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
3585,16869,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2001-06-15,47,2001,2001,2.0,88.56,1.0
7815,23666,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2003-10-29,78,2003,2003,0.0,82.39,2.0
4737,17329,chehalis,WA,c2293y,c2293yt,c2293yt,46.6622,-122.9627,46.6622222,-122.9627778,2001-05-13,2001-08-03,82,2001,2001,6.0,81.56,3.0
12587,4941,venice beach,FL,dhv65t,dhv65tn,dhv65tk,27.099,-82.454,27.0997222,-82.4577778,1988-08-01,1988-06-01,61,1988,1988,382.0,79.6,4.0
7815,25239,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2004-04-15,247,2003,2004,0.0,59.64,5.0
7804,27506,nevada city,CA,9qczq5,9qczq5w,9qczq5r,39.26361,-121.0161,39.2616667,-121.015,2004-01-04,2004-11-09,310,2004,2004,236.0,51.64,6.0
13345,32935,manchester,VT,drsj91,drsj91w,drsj91w,43.1635,-73.0723,43.1636111,-73.0727778,2005-08-25,2006-07-29,338,2005,2006,41.0,51.5,7.0
3585,20054,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2002-08-15,379,2001,2002,2.0,49.04,8.0
3585,20147,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2002-08-23,387,2001,2002,2.0,48.52,9.0
5742,31333,mounds,IL,dn8e4k,dn8e4k2,dn8e4k2,37.1142,-89.1979,37.1141667,-89.1977778,2004-11-27,2005-12-29,397,2004,2005,11.0,47.8,10.0
7815,27072,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2004-10-04,419,2003,2004,0.0,46.56,11.0
7815,27454,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2004-11-05,451,2003,2004,0.0,44.73,12.0
51044,69842,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2014-04-12,458,2015,2014,24.0,44.14,13.0
51044,69778,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2014-04-09,461,2015,2014,24.0,43.98,14.0
147,18147,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,2000-06-15,2001-11-12,515,2000,2001,3.0,41.45,15.0
1975,19848,loudon,NH,drtnjx,drtnjxy,drtnjxy,43.28556,-71.46778,43.2855556,-71.4677778,2001-01-10,2002-07-30,566,2001,2002,1.0,39.2,16.0
2255,12344,alturas,CA,9r6k10,9r6k108,9r6k108,41.48722,-120.5414,41.4872222,-120.5413889,2001-03-30,1999-09-01,576,2001,1999,1.0,38.78,17.0
2255,12343,alturas,CA,9r6k10,9r6k108,9r6k108,41.48722,-120.5414,41.4872222,-120.5413889,2001-03-30,1999-09-01,576,2001,1999,1.0,38.78,17.0
147,10777,south lake tahoe (meyers),CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,2000-06-15,1998-11-17,576,2000,1998,3.0,38.77,18.0
51044,67594,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2013-12-06,585,2015,2013,24.0,38.24,19.0
51044,66942,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2013-11-05,616,2015,2013,24.0,37.03,20.0
21714,43439,montevallo,AL,djfhr3,djfhr3w,djfhr3g,33.1,-86.86,33.1005556,-86.8641667,2007-09-12,2009-03-24,559,2007,2009,393.0,36.62,21.0
3585,22059,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2003-06-06,674,2001,2003,2.0,35.12,22.0
51044,64506,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2013-07-18,726,2015,2013,24.0,33.3,23.0
3585,22787,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2003-08-24,753,2001,2003,2.0,32.63,24.0
3585,22789,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2003-08-24,753,2001,2003,2.0,32.63,24.0
3766,22694,seaside,OR,c0pvsh,c0pvshg,c0pvshg,45.99378,-123.9211,45.9933333,-123.9213889,2001-08-03,2003-08-16,743,2001,2003,54.0,32.59,25.0
51044,63305,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2013-05-26,779,2015,2013,24.0,31.75,26.0
10919,2901,jacksonville,AR,9ynqrg,9ynqrgb,9ynqrgp,34.87,-92.12,34.8661111,-92.11,1975-09-15,1977-05-01,594,1975,1977,1010.0,31.66,27.0
51044,62644,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2013-04-06,829,2015,2013,24.0,30.42,28.0
4094,5754,benton,AR,9ynhth,9ynhthk,9ynhthk,34.56444,-92.58667,34.5644444,-92.5866667,1994-10-15,1992-06-02,865,1994,1992,1.0,29.67,29.0
3585,24339,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2003-12-29,880,2001,2003,2.0,29.31,30.0
7804,31995,nevada city,CA,9qczq5,9qczq5w,9qczq5r,39.26361,-121.0161,39.2616667,-121.015,2004-01-04,2006-04-07,824,2004,2006,236.0,29.31,30.0
1584,9147,roy,WA,c22g7s,c22g7sf,c22g7sf,47.00444,-122.5386,47.0044444,-122.5386111,2000-03-13,1997-08-15,941,2000,1997,1.0,27.94,31.0
919,10777,south lake tahoe (meyers),CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,1996-04-10,1998-11-17,951,1996,1998,3.0,27.72,32.0
51044,61031,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2012-11-24,962,2015,2012,24.0,27.37,33.0
7815,15639,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2000-12-10,975,2003,2000,0.0,27.24,34.0
4737,24575,chehalis,WA,c2293y,c2293yt,c2293yt,46.6622,-122.9627,46.6622222,-122.9627778,2001-05-13,2004-01-30,992,2001,2004,6.0,26.87,35.0
3585,10712,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,1998-11-06,999,2001,1998,2.0,26.75,36.0
24646,24275,hayneville,AL,djdrjf,djdrjfc,djdrjff,32.184,-86.581,32.1838889,-86.5802778,2001-04-13,2003-12-23,984,2001,2003,69.0,26.69,37.0
5260,1939,crescent city,CA,9prtt9,9prtt9r,9prtt9r,41.75611,-124.2006,41.7561111,-124.2005556,1975-09-01,1972-11-01,1034,1975,1972,4.0,26.07,38.0
3585,10484,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,1998-09-25,1041,2001,1998,2.0,25.95,39.0
3766,10329,seaside,OR,c0pvsh,c0pvshg,c0pvshg,45.99378,-123.9211,45.9933333,-123.9213889,2001-08-03,1998-09-01,1067,2001,1998,54.0,25.22,40.0
7815,14864,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2000-08-20,1087,2003,2000,0.0,25.14,41.0
31488,7555,pilot rock,OR,c256xz,c256xzy,c256xzz,45.48318,-118.83,45.4833333,-118.8288889,1998-10-15,1995-11-08,1072,1998,1995,88.0,24.96,42.0
7815,33107,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2006-08-15,1099,2003,2006,0.0,24.93,43.0
10776,17989,pilot mountain (near),NC,dnqybz,dnqybzk,dnqybzg,36.38287,-80.46865,36.3863889,-80.4697222,1999-01-16,2001-10-18,1006,1999,2001,403.0,24.64,44.0
51044,55850,panama city beach,FL,dj6gxm,dj6gxmq,dj6gxmq,30.1766,-85.8055,30.1763889,-85.8055556,2015-07-14,2012-03-08,1223,2015,2012,24.0,22.88,45.0
13345,42836,manchester,VT,drsj91,drsj91w,drsj91w,43.1635,-73.0723,43.1636111,-73.0727778,2005-08-25,2009-01-24,1248,2005,2009,41.0,22.44,46.0
1584,22901,roy,WA,c22g7s,c22g7sf,c22g7sf,47.00444,-122.5386,47.0044444,-122.5386111,2000-03-13,2003-08-31,1266,2000,2003,1.0,22.37,47.0
3585,28336,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2005-03-03,1310,2001,2005,2.0,21.78,48.0
7804,14801,nevada city,CA,9qczq5,9qczq5w,9qczq5r,39.26361,-121.0161,39.2616667,-121.015,2004-01-04,2000-08-14,1238,2004,2000,236.0,21.74,49.0
7804,14800,nevada city,CA,9qczq5,9qczq5w,9qczq5r,39.26361,-121.0161,39.2616667,-121.015,2004-01-04,2000-08-13,1239,2004,2000,236.0,21.73,50.0
4737,28140,chehalis,WA,c2293y,c2293yt,c2293yt,46.6622,-122.9627,46.6622222,-122.9627778,2001-05-13,2005-02-08,1367,2001,2005,6.0,21.05,51.0
147,25217,south lake tahoe,CA,9qftmx,9qftmxw,9qftmxw,38.93333,-119.9833,38.9333333,-119.9833333,2000-06-15,2004-04-11,1396,2000,2004,3.0,20.71,52.0
2255,28371,alturas,CA,9r6k10,9r6k108,9r6k108,41.48722,-120.5414,41.4872222,-120.5413889,2001-03-30,2005-03-07,1438,2001,2005,1.0,20.24,53.0
