uap_id,datetime,city,state_code,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,rounded_dt,date_str,hour_str,weather_cloud,weather_temp_f,weather_condition,condition_groups
49443,2010-10-10 01:00:00,orchard park,NY,ny,us,light,7200.0,a few hours,Xmas colored rotating lights.  ((NUFORC Note:  Twinkling stars??  PD)),1/5/2011,42.7675000,-78.7441667,2010-10-10 01:00:00,2010-10-10,1,8.0,43.3,Clear,Clear
49444,2010-10-10 02:30:00,harrisburg,PA,pa,us,circle,240.0,4  minutes,possible UFO sighting,11/21/2010,40.2736111,-76.8847222,2010-10-10 02:00:00,2010-10-10,2,0.0,48.5,Clear,Clear
49445,2010-10-10 03:00:00,euclid,OH,oh,us,circle,180.0,3 minutes,2 objects blinking red and white&#44 disappeared into the sky&#44 after hovering around sky for 3 minutes.( over lake erie,11/21/2010,41.5930556,-81.5269444,2010-10-10 03:00:00,2010-10-10,3,8.0,52.2,Clear,Clear
49446,2010-10-10 08:30:00,starr,SC,sc,us,formation,600.0,5-10 mins,Strange orange lights in the night sky,11/21/2010,34.3769444,-82.6958333,2010-10-10 08:00:00,2010-10-10,8,0.0,64.3,Sunny,Clear
49447,2010-10-10 10:45:00,leominster,MA,ma,us,flash,0.0,,we were in the car and i looked out the window and i seen a unually big ball of a deep yellow color (way bigger than a shooting star li,11/21/2010,42.5250000,-71.7602778,2010-10-10 11:00:00,2010-10-10,11,3.0,59.4,Sunny,Clear
49448,2010-10-10 12:00:00,greenwich,CT,ct,us,light,240.0,4 mins,&quot;Star&quot; like objects during clear day light in formation.,11/21/2010,41.0263889,-73.6288889,2010-10-10 12:00:00,2010-10-10,12,5.0,62.4,Sunny,Clear
49449,2010-10-10 13:00:00,north charleston,SC,sc,us,light,180.0,3 minutes,Object(s) visible 3 times at same place in the sky at during day in Chas&#44 SC,7/4/2012,32.8544444,-79.975,2010-10-10 13:00:00,2010-10-10,13,0.0,81.2,Sunny,Clear
,2010-10-10 15:00:00,san francisco airport,,ca,,triangle,300.0,5 min.,White or light grey colored and leaving red/orange contrails on a bright blue sky.,9/30/2013,37.615223,-122.389979,2010-10-10 15:00:00,2010-10-10,15,3.0,71.1,Sunny,Clear
49450,2010-10-10 16:30:00,springfield,VA,va,us,cigar,15.0,15 secs,Metalic cigar shaped object sighted during lull in a storm in Springfield&#44 VA,11/21/2010,38.7891667,-77.1875,2010-10-10 16:00:00,2010-10-10,16,5.0,73.3,Sunny,Clear
49451,2010-10-10 17:10:00,bridgeport,CT,ct,us,light,600.0,five to ten minutes,Saw a light in the sky fading in and out over Bridgeport&#44 CT.,11/21/2010,41.1669444,-73.2052778,2010-10-10 17:00:00,2010-10-10,17,5.0,60.6,Sunny,Clear
49452,2010-10-10 18:30:00,clackamas,OR,or,us,triangle,120.0,1-2minutes,triangular ufo sighting in oregon 10-10-10,11/21/2010,45.4077778,-122.5691667,2010-10-10 18:00:00,2010-10-10,18,23.0,55.1,Sunny,Clear
49453,2010-10-10 20:00:00,san angelo,TX,tx,us,oval,60.0,1 minute,I was coming back from the grocery store around 8:30 pm when I noticed a large orange glowing object in the sky above my neighbors hous,11/21/2010,31.4636111,-100.4366667,2010-10-10 20:00:00,2010-10-10,20,5.0,76.1,Clear,Clear
49454,2010-10-10 20:20:00,windsor,CT,ct,us,fireball,5.0,5 seconds,Bus sized fireball object over 91 about 3-400 ft up going about 150 mph at a downward 20 degree angle.,5/2/2014,41.8525000,-72.6441667,2010-10-10 20:00:00,2010-10-10,20,3.0,50.8,Clear,Clear
49455,2010-10-10 20:45:00,sterling,IL,il,us,cylinder,600.0,10min,It had rows of white lights with red lights pulsating in between them,11/21/2010,41.7886111,-89.6961111,2010-10-10 21:00:00,2010-10-10,21,6.0,60.8,Clear,Clear
49456,2010-10-10 21:00:00,everett,WA,wa,us,other,30.0,30 seconds,crown shaped object with two orange lights over everett wa,11/21/2010,47.9791667,-122.2008333,2010-10-10 21:00:00,2010-10-10,21,6.0,49.1,Clear,Clear
49457,2010-10-10 21:00:00,kykotsmovi,AZ,az,us,disk,7200.0,2 hours,We saw  what seem to be a space craft in the eastern sky of northern AZ&#44 on 10-10-10.,1/31/2011,35.8752778,-110.6197222,2010-10-10 21:00:00,2010-10-10,21,0.0,53.8,Clear,Clear
49458,2010-10-10 21:30:00,albany,NY,ny,us,circle,10.0,10 seconds,Circle of light SUNY Albany.,8/30/2013,42.6525000,-73.7566667,2010-10-10 22:00:00,2010-10-10,22,6.0,48.1,Clear,Clear
49459,2010-10-10 22:30:00,garden grove,CA,ca,us,egg,7200.0,2 hours,Blue Light in Garden Grove,11/21/2010,33.7738889,-117.9405556,2010-10-10 22:00:00,2010-10-10,22,0.0,69.2,Clear,Clear
