uap_id,datetime,city,state_code,latitude,longitude,geohash_7,year,month,season,hour,solar_kp_index,solar_ap_index,temperature_f,dew_point,cloud_cover,precip_in,wind_mph,weather_conditions
50278,2011-01-01 00:00:00,lincoln city,OR,44.9583333,-124.0166667,9pzzcbm,2011,1,winter,00,1.667,6,35.6,21.7,100.0,0.01,15.1,
50279,2011-01-01 00:00:00,farmington hills,MI,42.4852778,-83.3772222,dps9wwn,2011,1,winter,00,1.667,6,49.7,47.3,76.0,0.0,9.9,
50280,2011-01-01 00:00:00,clarksburg,WV,39.2805556,-80.3447222,dnyz7wy,2011,1,winter,00,1.667,6,42.5,40.5,90.0,0.0,8.6,
50281,2011-01-01 00:00:00,joppatowne,MD,39.4577778,-76.3555556,dr18qrp,2011,1,winter,00,1.667,6,37.0,33.1,38.0,0.0,4.9,
50282,2011-01-01 00:01:00,seminole,FL,27.8394444,-82.7913889,dhvnkh1,2011,1,winter,00,1.667,6,63.6,56.2,5.0,0.0,12.4,
50283,2011-01-01 00:02:00,woodbridge,VA,38.6580556,-77.25,dqc5fjk,2011,1,winter,00,1.667,6,38.2,36.0,61.0,0.0,6.8,
50284,2011-01-01 00:05:00,redlands,CA,34.0555556,-117.1816667,9qh9trw,2011,1,winter,00,1.667,6,34.0,23.7,100.0,0.0,5.2,
50285,2011-01-01 00:07:00,reynoldsburg,OH,39.9547222,-82.8122222,dpj5799,2011,1,winter,00,1.667,6,48.4,45.9,100.0,0.0,10.1,
50286,2011-01-01 00:07:00,salt lake city,UT,40.7608333,-111.8902778,9x0rvu7,2011,1,winter,00,1.667,6,12.2,7.6,46.0,0.0,3.1,
50287,2011-01-01 00:10:00,guffey,CO,38.7511111,-105.5208333,9wuuqy6,2011,1,winter,00,1.667,6,-15.2,-22.1,19.0,0.0,6.6,
50288,2011-01-01 00:11:00,bradenton,FL,27.4986111,-82.575,dhvk2vy,2011,1,winter,00,1.667,6,63.4,54.9,9.0,0.0,7.3,
50289,2011-01-01 00:13:00,oak lawn,IL,41.7108333,-87.7580556,dp3t710,2011,1,winter,00,1.667,6,53.5,53.2,98.0,0.0,16.3,
50290,2011-01-01 00:15:00,katy,TX,29.7855556,-95.8241667,9v7c7qq,2011,1,winter,00,1.667,6,58.0,33.8,100.0,0.0,12.1,
50291,2011-01-01 00:30:00,welches,OR,45.3283333,-121.9597222,c213bez,2011,1,winter,00,1.667,6,16.1,9.6,36.0,0.0,9.3,
50292,2011-01-01 00:30:00,orlando,FL,28.5380556,-81.3794444,djn4k5j,2011,1,winter,00,1.667,6,60.5,55.8,9.0,0.0,6.0,
50293,2011-01-01 00:30:00,manhattan,IL,41.4225,-87.9858333,dp37tud,2011,1,winter,00,1.667,6,54.1,53.5,97.0,0.0,14.2,
50294,2011-01-01 00:35:00,seminole,FL,27.8394444,-82.7913889,dhvnkh1,2011,1,winter,01,1.667,6,63.6,56.3,6.0,0.0,12.4,
