bf_id,full_date,latitude,longitude,season,temperature_f,dew_point,cloud_cover,moon_phase
76,2001-08-11,36.37139,-92.25139,Summer,80.0,69.1,33.0,0.73
77,1983-09-01,46.98333,-121.0922,Fall,53.3,45.6,68.0,0.8
85,2000-06-08,45.03255,-122.4808,Spring,53.6,49.6,98.0,0.23
96,1978-06-25,43.7827,-123.9599,Summer,58.6,52.1,83.0,0.68
97,1992-10-01,41.72278,-120.3292,Winter,58.3,32.0,18.0,0.19
102,2000-08-19,45.7351,-123.466,Summer,47.1,48.6,77.0,0.65
113,1975-10-01,37.44208,-95.35479,Fall,48.7,42.1,21.0,0.87
115,1976-08-15,30.98555,-85.6489,Summer,83.8,72.0,22.0,0.68
140,1996-08-24,38.48959,-107.7,Summer,68.2,47.6,1.0,0.35
147,2000-06-15,38.93333,-119.9833,Summer,64.9,45.0,0.0,0.46
177,1988-10-19,39.64175,-111.2186,Fall,48.9,28.8,0.0,0.3
179,1981-09-15,32.31435,-85.16235,Fall,78.5,69.3,71.0,0.55
186,2001-08-11,34.55056,-92.34083,Fall,82.1,73.4,82.0,0.73
187,2000-07-22,45.40023,-122.2777,Summer,60.7,56.0,94.0,0.7
191,1984-07-31,45.63606,-123.3471,Summer,63.3,55.7,38.0,0.12
245,1999-07-15,33.28375,-87.32655,Summer,78.4,70.5,38.0,0.1
257,2000-09-01,39.9784,-84.1735,Summer,77.9,71.0,48.0,0.12
273,1994-09-15,33.7065,-85.57415,Fall,76.6,63.6,25.0,0.36
283,1992-08-29,47.5616,-123.1967,Summer,56.0,43.8,0.0,0.06
317,1990-04-15,36.8207,-88.41175,Spring,48.2,43.4,74.0,0.67
348,2000-08-20,37.57915,-105.4979,Summer,48.1,42.2,16.0,0.68
353,2000-09-23,38.9575,-120.0914,Fall,44.1,31.4,33.0,0.85
369,2006-05-31,41.16,-123.9,Summer,59.0,50.5,47.0,0.15
378,2000-07-11,39.58157,-82.36887,Summer,70.9,68.3,55.00000000000001,0.35
391,1999-05-12,47.79111,-122.1914,Spring,46.7,42.4,99.0,0.9
412,1995-07-05,43.94225,-121.3815,Summer,64.8,39.7,6.0,0.25
415,1981-10-15,35.5035,-89.91499,Fall,73.0,60.9,94.0,0.58
416,1983-11-15,34.95605,-86.4559,Winter,48.3,43.8,96.0,0.34
446,2000-09-22,30.2333,-81.52915,Summer,78.7,76.8,33.0,0.81
450,2000-09-09,35.8934,-81.98335,Fall,66.1,61.5,30.0,0.37
451,1993-08-20,34.9263,-87.02025,Summer,81.6,74.2,57.99999999999999,0.11
470,2000-08-23,39.1084,-107.0153,Summer,53.1,41.8,28.000000000000004,0.79
496,1977-08-15,37.8597,-91.432,Summer,81.9,69.8,20.0,0.02
502,2000-06-17,39.01917,-120.8275,Summer,76.6,40.3,0.0,0.53
528,1957-06-01,40.80222,-124.1625,Summer,55.2,50.5,18.0,0.12
529,2000-09-21,39.2026,-106.1143,Summer,44.0,32.4,68.0,0.78
548,2000-10-30,45.06215,-123.7027,Fall,48.3,41.8,0.0,0.12
568,1990-09-22,46.71,-122.3442,Fall,65.5,49.0,6.0,0.12
594,1980-07-15,26.08285,-80.21025,Summer,83.7,75.0,90.0,0.11
598,2000-10-28,29.01175,-82.03495,Winter,69.8,54.5,0.0,0.05
606,1986-08-15,30.05705,-81.75165,Unknown,81.5,72.6,54.0,0.35
638,2003-12-15,33.24722,-95.77,Summer,54.9,46.3,38.0,0.72
690,1998-08-02,45.5891,-123.5469,Summer,69.0,55.3,2.0,0.32
694,1991-07-15,45.3233,-118.2742,Summer,57.0,40.6,0.0,0.15
702,1997-11-10,45.59669,-123.3768,Fall,44.5,37.7,49.0,0.36
717,1981-08-01,36.63621,-93.31413,Summer,78.6,68.8,45.0,0.06
729,1997-07-25,29.19395,-81.9233,Summer,83.0,72.3,10.0,0.7
730,1996-09-15,30.51295,-86.5065,Fall,81.5,70.2,59.0,0.08
733,1998-11-22,27.97255,-81.12476,Winter,75.0,69.6,83.0,0.11
737,1984-06-15,28.3836,-82.6053,Summer,81.9,70.8,52.0,0.57
747,1999-10-15,28.9935,-80.933,Fall,77.0,72.4,86.0,0.19
751,2000-04-21,48.25422,-101.3166,Spring,59.0,31.0,34.0,0.6
810,1997-11-15,43.74,-84.58583,Fall,22.5,25.4,98.0,0.54
815,1987-08-15,43.26806,-82.53083,Summer,82.0,71.2,43.0,0.72
819,1999-09-11,38.8922,-105.1058,Fall,47.3,43.0,57.99999999999999,0.07
878,1989-08-15,40.15002,-83.02854,Summer,74.0,63.1,62.0,0.44
880,1998-09-28,39.21338,-105.0652,Fall,60.8,33.0,36.0,0.25
913,2000-07-01,38.93,-120.205,Summer,51.3,30.6,0.0,0.0
928,1977-05-22,47.4644,-120.6705,Spring,59.2,30.8,50.0,0.14
933,1989-06-14,45.8581,-122.4089,Summer,56.2,56.9,100.0,0.35
938,1991-09-15,46.37944,-117.9458,Fall,63.6,35.8,7.000000000000001,0.25
942,1996-04-14,47.7442,-122.8994,Spring,57.5,37.6,28.000000000000004,0.89
956,1982-11-26,47.425,-121.4142,Winter,22.4,15.6,67.0,0.35
959,1997-10-15,47.2475,-123.8886,Fall,60.9,54.6,62.0,0.49
980,2001-03-05,45.84175,-117.991,Fall,30.1,31.0,54.0,0.36
989,1982-01-15,30.84015,-86.9648,Winter,47.4,29.7,41.0,0.71
1043,1950-05-01,45.75056,-121.6508,Spring,40.3,40.3,85.0,0.48
1065,2001-03-20,45.99215,-118.0811,Spring,38.8,30.0,0.0,0.87
1077,1995-04-17,47.8925,-122.0111,Spring,47.7,39.1,96.0,0.58
1079,1981-10-15,28.662,-81.31985,Fall,68.5,65.9,30.0,0.58
1105,1997-11-07,45.5,-91.71295,Fall,36.4,34.8,100.0,0.25
1106,2001-01-04,47.9261,-123.3769,Fall,28.7,27.2,99.0,0.32
1109,2000-07-15,47.29833,-120.3,Summer,60.7,40.5,0.0,0.48
1115,1954-06-30,38.441,-91.6284,Unknown,82.5,63.9,44.0,0.01
1116,1998-11-20,38.46253,-93.91737,Fall,42.4,31.4,21.0,0.05
1117,2000-12-28,41.72134,-80.88494,Winter,17.1,12.0,100.0,0.09
1118,1997-06-15,39.8397,-91.6533,Spring,73.0,62.1,94.0,0.33
1131,2000-12-01,47.0413,-124.053,Winter,46.4,42.9,97.0,0.18
