bf_id,full_date,title,state_code,state,latitude,longitude,geohash_5,geohash_6,geohash_7,geohash,date,year,month,day,season,classification,observed,solar_kp_index,solar_ap_index
60,1994-05-13,Report 60: Missing Cattle and large footprints found,WA,Washington,48.64056,-121.8053,c29ks,c29ksq,c29ksq8,c29ksq8pfc,1994-05-13,1994,5,13,Spring,Class B,"These two gentlmen, brothers, recluses age 50's phoned me and explained these events. They own and operate a cattle ranch. They have over 200 acres of interspersed Old growth Douglas Fir and graze. There is virtually no access (by vehicle) to their land, because of swamps, creeks and no roads, except the drive onto the innitial property. I have hunted the area around their place and know it well. Also locals would not venture on their property because of their reclusness and temperment - this is why I rule out fowl play! During the months from MAY thru early JULY they (the brothers) had been experiencing calv's missing from herd.The herd numbers over 200 head I believe and the weight of the calv's that turned up missing from time to time during this 3 month time frame,were 300 - 400 lb. calv's. No blood, no body parts at all were ever found,just missing cattle.The brothers also stated that the cattle would always come running to the brothers when the cattle saw them in the pasture to round them up for the evening feeding, but the brothers had noticed that when the events, early on, started happening the cattle, upon seeing the brothers - at a distance, 100 yards or more would run in panic. Immediatly I could see the ""Possible"" reason why, being that the brothers were bipedal in nature also. After a couple of years, and this occured the same time -may thru july, the third year on e evening on a round up the brothers finally found a calf that had just been killed and left. They determined it must have just happened because it was warm. They also felt that they showed up and probably scared off what ever had done this because, an animal had never been left before! A vet, among other qualified persons had a thoruogh exam of the calf. It was skinned, there were no teeth marks, there were no claw marks. The animal was killed by having it's neck broke. Now this calf was in the 300 - 400 lb. range, I don't know any man thats man enough to take on that feet. The examiner also found a very obviouse and DEEP bruise mark running in a 45 degree anle from spine down along rib cage. The out side lines of bruise were very paralel to each other and 6-8in. apart. Like something had kicied the cow in the ribs or hit it with a post, tree whatever that was 6-8 in. wide. That would take alot of POWER. Besides, the blood bruise extended all the way into the inside of the rib cage. Analysis of the lung indicated some sort of respitry ailment or disease assosiated with cougars or the Feline species. How ever no bite marks or claw marks were found anywhere on the animal. Tracks were also found, 3 sets total. Two were from an adult, one set 17in. the other 15in. The third set was much smaller 10in.",4.667,39
76,2001-08-11,Report 76: Three fisherman hear thrashing about and loud vocalizations,AR,Arkansas,36.37139,-92.25139,9yqqu,9yqquv,9yqquv0,9yqquv0wdy,2001-08-11,2001,8,11,Summer,Class B,"I DID NOT SEE ANYTHING.  I DID HEAR A LOT.  WHILE IN A BOAT FISHING WITH TWO FRIENDS WE WERE ALONG THE SHORE LINE JOKING AROUND AND TRYING TO CATCH SOMETHING WHEN WE HEARD A VERY LARGE ANIMAL RUSTLING IN THE WOODS.  THE ANIMAL/OBJECT WAS NOT ALL THAT FAR FROM US BUT WE COULD NOT SEE DUE TO THE DENSE VEGITATION AND THE LOW LIGHT CONDITION.  THE CREATURE DID SOUND TO BE VERY LARGE AND THE THRASHING OF THE VEGITATION BECAME LOUDER.  THE THREE OF US IN THE BOAT DID BEGIN TO SPECULATE WHAT WE WERE HEARING AND NONE OF US WERE WORRIED UNTIL WE HEARD THE SHRILL FROM THIS ANIMAL.  IT CAN ONLY BE DESCRIBED AS VERY LOUD, BONE CHILLING AND IN DID STRIKE FEAR IN ALL OF US.  WE BEGAN TO PULL OUR LINES AND START THE BOAT ASAP TO LEAVE THE AREA AND THE ANIMAL BEGAN TO RUN AWAY FROM OUR LOCATION.  I THINK THE DIRECTION WAS S/E.  WE STILL COULD HEAR THE ANIMAL MOVING THROUGH THE DENSE VEGITATION AT A FAST FACE WITH NO APPARENT PROBLEM.  THE ANIMAL CONTINUED TO SHRILL ON OCCASION STOPP ING APPROX. EVERY 200YDS.  THE DISTANCE THE FINAL SHRILL WAS HEARD AT WAS APPROX. 1/4 TO 1/2 A MILE AWAY THROUGH DENSE WOODS, UP HILL.  THE TIME FRAME WHICH THIS TOOK PLACE IN WAS SO FAST WE WERE UNABLE TO THINK OF AN ANIMAL WHICH COULD SOUND SO LARGE, HAVE SUCH A DEEP SHRILL, AND MOVE SO FAST.  THE SHRILL WAS NOT AS ANY OTHER ANIMAL I HAVE EVER HEARD NOR WAS IT TO THE TWO OTHER PEOPLE I WAS WITH.  THE SHRILL WAS LATER HEARD BY BE APPROX. 2YRS LATER WHILE ON MY WAY HOME FROM WORK IN WI.  I WAS LISTENING TO ART BELL AND BIG FOOT WAS THE TOPIC AND SOMEBODY HAD AN AUDIO OF A BIG FOOT.  WHEN THE AUDIO WAS PLAYED I AGAIN BECAME AFRAID, SPEACHLESS, THE HAIR ON MY NECK STOOD UP AND MY EYES TEARED.",1.0,4
77,1983-09-01,Report 77: Couple hear vocalizations while camping at Milk Lake,WA,Washington,46.98333,-121.0922,c23gk,c23gk3,c23gk3p,c23gk3p3ep,1983-09-01,1983,9,1,Fall,Class B,"We had driven into Milk pond, up Chinook pass, about 30 miles from Yakima, Washington. We were headed to Milk Lake, thats up about 5-7 miles above the pond, we got into the spot late, so we just drove past the pond and found a small area we could part our truck and cabover camper. We ate a quick dinner, and went to bed, we never walked around or made any noise, so I don't think they evey knew we were there. You couldn't see our truck from the pond. In the middle of the night, The frogs from the pond stopped croking, and this loud whistling and clicking noise started, I asked my Husband what it was, and he said he thought it was a Bigfoot. It went on for about 15 min. Then stopped. The next morning I walk all around the pound, hope to see a foot print but didn't. We then went up the hill to the lake. No other people were aound, and while we were fishing we heard the strangest thing, it sounded like someone picked up a 55 gallon metel drum and threw it on the ground, I went in the direction of the noise, but could see or hear anything, but we had thet feeling of being watched. very creapy. So we left. Keep up the good work, i think they are very interesting, would like to meet one, and give them a bag to carry thing in, I think they would like that. Dyann",1.667,6
80,1983-08-12,"Report 80: Late Arriving Campers Hear Running, Stomping, Shrieking, Howling",OR,Oregon,43.69005,-122.3755,9rbbx,9rbbx3,9rbbx38,9rbbx38bup,1983-08-12,1983,8,12,Summer,Class B,"My veterinarian sister, former girlfriend, and myself had been on a road trip and had finished eating dinner at the Sizzler in Bend, when we headed south to find a camping spot for the night. We were heading south and then west when we stumbled onto Kitson Springs, a deserted place when we arrived.  We basically threw our sleeping bags on the ground and went to sleep.  In no more than 10 minutes we heard loud rustling by the spring about 20 yards away, then a series of loud stomping, then a blood curdling shrieking and howling that lasted nearly 20 minutes. If you are familiar with the Puyallup tape from 1974, this will give you an example of what we heard.  We could not see the creature.  I had to cover my ears and my two companions panicked, so I told them to play dead.  We were scared stiff anyway.  I whispered to my sister, the vet, if she thought it could be a cougar which she thought was ridiculous.  She suggested it sounded apelike. The ""creature"" ran at tremendous speed up the hillside screaming the whole way and we heard the shrieks in the distance for at least another 10 minutes.  We somehow fell asleep and awoke in the morning not quite sure of what had been there.  I found NO tracks, but had little time to look; since my sister threatened to drive away without me if I didn't get in the car.  How we fell asleep, I don't know.",3.333,18
83,1988-10-01,Report 83: Early dawn sighting by hunters near Bass Lake,CA,California,37.35944,-119.6436,9qdut,9qdut3,9qdut3n,9qdut3n4w0,1988-10-01,1988,10,1,Fall,Class A,"Early in the morning before light my friend and I decided to hike up a ridge and sit down where we could see a lot of area hoping to see a deer that we could bag. We parked in an area just below the ridge where when the sun lightened up enough we could easily hike up to the top in about 20 minutes. As it got light enough to see the top, we noticed someone already on the ridge wearing what seemed to be black of all things. He had no light, and no gun, and we wondered where he came from because we had been camped there for 11 days, and no one had come by that whole time. We watched him dig around in some brush for at least 30 minutes, pausing occasionaly for long periods to just stare in different directions. We joked that it was probably a hunter from L.A. because anyone would be crazy to wear just black during deer, and bear season. Then he began to walk down the hill right for us, now we never left the truck yet, and he would walk a little ways and the stop and look around just as if he was hunting, but with no rifle. He walked just like a human, so at this time there was no reason to think it was anything but a man. After a little while it was getting light enough to see even better, and he was still walking straight for us. When he was about 50 yards away we both at the same time realized we were not watching a man, but this was a Bigfoot! He walks like a man, but he was not a man. He had jet black, shiny fur, with a reddish color around where his eyes were. At this moment I was ready to run clear home in one leap! I had to see this thing up close, and he had not noticed us yet, so I tried to open the door of the truck real easy so he wouldn't notice, but that old ford truck was anything but quiet, and he heard the latch release and took one good look before breaking into a run. I tried to bring the scope up to view him closer, but this guy could really move, and I could not get my eye into the scope before he got behind a tree and nev er came out. It took all the nerve in my body to walk over to the tree, but he was not there he flat disappeared. My friend was hollering the whole time not shoot, and thought I was crazy for trying to go find him, or a track, or something. All I know is I have different kind of respect for the back woods now, and I give a lot of room between me and large objects. I was brought up in these woods camping, and hunting every year and only heard of such things.",1.667,6
85,2000-06-08,Report 85: 16 year old has strange experience walking home,OR,Oregon,45.03255,-122.4808,c20bh,c20bhv,c20bhvu,c20bhvujwe,2000-06-08,2000,6,8,Spring,Class B,"Right off the bat, I'll tell you I'm a 16 year old kid telling absolutely the truth, so god strike me dead. I hope you don't take my report as bogus because of that. Let me explain my situation to you: I live, and have lived, on the Molalla river for most of my life and never thought twice about walking around at night or anywhere period. About 2 months ago, I was alone in my Grandmas house using the computer, when I decided to go home (my house is only about 50 yards away). As I was stepping outside the most hideous feeling of being alone and fear thumped my heart. I kept walking in terror, when all of the sudden about 30 feet off to my right, I heard a loud thumping sound crash out. From there on, being distorted by my act of running faster than I've ever moved before, I could swear I heard the distinctive two-legged footsteps veering toward me from off the trail between houses. I raced in my house, slammed the door, locked it and sat in the living room to calm down from my strange experience.The oddest feelings flushed through me then, and now. Now, before you dismiss my story as a frightened child running from noises, I'll have to tell you of the strange past our 45 acres of land at the end of the Dickey Prairie road has had: Around three years ago, when we had cattle and cows fenced on our property, I noticed casually how they would always stay together and go near the barns at night. Then one day we discovered two of them killed up in the woods by the drinking creek. The killings weren't average killings either. The cows didn't have a scratch on them, both had broken necks and their eyeballs sucked cleanly out. Since those experiences, I'm now scared to go hiking and travel at night. Yes, average signs of fear, but I have the weird feeling of being an 'Intruder'. Thank you for your time sincerely, Shawn Murray p.s. I'm a believer.",1.333,5
89,2000-07-24,Report 89: Fishermen hear large animal crashing through the brush in the Blue Mountains,WA,Washington,46.33333,-117.6767,c2hrd,c2hrd4,c2hrd4w,c2hrd4wrnn,2000-07-24,2000,7,24,Summer,Class B,"I had just recently purchased a cabin in the Blue Mountains  of Washington, and my friend and I were in the process of doing some repairs. We later decided to drive down into the Tucannon area to do some fishing in Spring lake. I had been fishing for around a half hour when Steve got bored and started around the lake, he was on his way back when from behind us across the road where we had to park came a very loud gutteral howling accompanied by grunting and sounds of anger, some bushs were being totally thrashed, this caught us extremly off guard and we just looked in the direction for some time waiting to see what had made the sounds. Getting dark we decided we did not want to meet what ever it was in the dark and crossed the road and got into the truck, we had to drive right by where we had heard the sounds, we never saw any bushs being trashed, only heard them. We drove around up and down the adjoining forest roads for sometime to look for tracks and for a possible sighting, but we heard or saw nothing more.",1.333,5
96,1978-06-25,Report 96: Young camper frightened by large hand gathering berries,OR,Oregon,43.7827,-123.9599,9pzc5,9pzc54,9pzc54r,9pzc54rhsy,1978-06-25,1978,6,25,Summer,Class B,"In July of 1978 when I was just 7 years old, I traveled to Oregon with my family to visit relatives. We spent 3 weeks in the state and I was lucky enough to see what I think was Bigfoot. We had camped in an area that was dense and close to a shallow river. It was almost like the camp was a bald spot with a wall of brush and trees around it. There was a trail that led to the shallow river and although it probably wasn't far, seemed so to me. The late afternoon was sunny and warm and everyone but my cousin, my uncle, and myself went to look for herds of elk or antelope. We had campers to sleep in, and my uncle and my cousin were both napping when this sighting occured. I was outside one of the campers playing when I heard a rustling of underbrush.I never smelled anything that I can remember, or heard a sound other than the rustling. When I looked up, I noticed that a small sapling...maybe the size of the end of a baseball bat, just bent completely over.This sapling was behind a thick wall of what appeared to be some sort of a berry bush. I am not sure what kind, though. I was curious and walked over to where I had seen the sapling bend over, thinking that there was a squirrel hanging on to it or something. That is when a large hand reached out from behind this brush and grabbed a handful of berries. I had to be 8 or 10 feet away at the time. The hand was huge with long reddish brown hair. It was clear that it was a hand and NOT a paw. I stood there in total shock.When I managed to run, I ran for my life. It did not chase me or anything, but I saw all that I wanted to see of it. The hand was scary enough, I probably would have died of fright had I seen the rest of it. I got back into camp which was not far away, but far enough for my napping cousin and uncle not to hear anything. I never screamed or made a sound, I just ran and sat as close to that camper as I could. I realized when I sat down in the fine dirt that I had wet my shorts.I was 7 years old and I had never done that before! I kept my mouth shut until my Mother and my other uncles and aunts (That were from Oregon) got back from antelope/elk sightseeing. I told them everything and they told me that it had to have been a bear. I described the color of the hair and I was told that it must have been black hair that I had seen, because this area only had black bears. I wasn't stupid. I knew the difference between a hand and a paw and the difference between reddish brown and black. I managed to let them convince me that it must have been a bear and we left and came back to our home state of Mississippi. A few years later I was in 6th grade. We had a library period and we could look for and check out books. I found a book with a black cover and if I am not mistaken, the title was ""Bigfoot"". I hurried to check this book out and read it from cover to cover. It wasn't until that moment that I figured out that the animal that I had seen those years earlier had a name. I had never been so excited in my life! Ever since, I have been interested in all sightings, shows, books, etc. of the Bigfoot/Sasquatch/Yeti/Skunkape. I have thought about telling my story for years, but I, like everyone else, have been afraid of the teasing and skeptisism of others. My family says ""We believe that YOU believe what you saw."" I will believe it until the day I die. I am 29 now and I hope that the mystery will be solved in my lifetime. My husband and my son believe me more than my Mom, Dad, Aunts, Uncles and cousins. I am very genuine and honest and I would never lie about something like that. I don't know why I was one of the chosen people to have had the opportunity to see even just a tiny part of this mysterious creature. I figured I'd just ask God when I get to heaven.",5.333,56
97,1992-10-01,Report 97: Hunter sees footprints near Alturas,CA,California,41.72278,-120.3292,9r6mm,9r6mmg,9r6mmg6,9r6mmg6uy3,1992-10-01,1992,10,1,Winter,Class B,"I think it was 1992 when this happened. The only people I told were my dad and uncle who were deer hunting with me at the time. I had left our camp before sunrise so I would be deep into the woods when the sun came up. I had just come out of the tree line into a clearing when I got a feeling something was watching me, I thought it was probably just deer but as I went across the clearing out into the open I felt really strange like something just glaring at me. I walked east into the sun and wind to the edge of the bank where there was still paches of snow on the ground because this was early October in X3B deer hunting zone. That's when I saw half a foot print in the snow.  It looked like the heal of a human foot only this one was about 8 inches wide. Then around 6 feet towards the edge of the bank was the front half of another print with five toes only they were big around like a man's bare foot would have been after the snow melted around it, but they were not from a man and the tracks were fresh. I looked over the edge of the bank and the side was all flat rock shail that looked like it had been recently disturbed. About 100 yards down was thick timber and as I looked down into it I felt like something was looking right up at me. I felt chills big time right then and felt like I needed to get away from there. Thats all that happend but I really think there was something down there that either saw me or heard me at least half a mile away because I was hunting with the wind in my face.",3.0,15
102,2000-08-19,"Report 102: Couple hears unknown howl, later finds possible deformed track",OR,Oregon,45.7351,-123.466,c20hn,c20hnm,c20hnmy,c20hnmyf38,2000-08-19,2000,8,19,Summer,Class B,"This weekend 8/19/00 while hunting off of Salmonberry Road off HWY 26.  I was looking for bear tracks on a trail that I have hunted before; anyway,  when I came out at the trails end on one of the logging roads I decided to take a walk up the road with my fiance.  I always keep an eye on the sides of the raods for traks to see where an animal may have crossed. Well about a half a mile up I saw a track, with very decerable toes (5) and I put my foot up nxt to the print, I am a size 12 and the print was about the same.  The funny thing was, the print looked like the foot was broken and healed wrong, I do know that it was not human and it deffinatly was not any type of animal I hunt for.  My fiance also saw this print as well. As we first hit the trail,  I should mention we both herd a howl the likes of nothing I have never heard before in my LIFE, the hair on the back of my neck stood on end, even my fiance said that it was the wierdest thing she ever heard.  There was no noticable odor in the air at that time.  This was all in the morning at about 6:10am. I will be checking this area again in about a week.  I will not forget that howl\moan for as long as I live.  It is monday and I can still hear it in my head.",0.333,2
