bf_id,uap_id,city,state_code,geohash_6,geohash_7_bf,geohash_7_uap,latitude_bf,longitude_bf,latitude_uap,longitude_uap,full_date_bf,full_date_uap,date_diff_days,year_bf,year_uap,distance_meters,proximity_score,proximity_rank
35596,57055,bailey,CO,9xhbpv,9xhbpve,9xhbpvt,39.40589,-105.475,39.4055556,-105.4727778,2012-05-29,2012-05-29,0,2012,2012,195.0,96.25,1.0
1036,6299,kernville,CA,9q7g3h,9q7g3hv,9q7g3hv,35.75472,-118.4244,35.7547222,-118.4244444,1994-08-01,1994-07-15,17,1994,1994,4.0,95.47,2.0
35596,57212,bailey,CO,9xhbpv,9xhbpve,9xhbpvt,39.40589,-105.475,39.4055556,-105.4727778,2012-05-29,2012-06-09,11,2012,2012,195.0,93.43,3.0
16823,33880,lake wales (?),FL,dhvyxr,dhvyxrr,dhvyxrn,27.9013,-81.58581,27.9011111,-81.5861111,2006-12-01,2006-11-05,26,2006,2006,36.0,92.68,4.0
8226,22463,arnold,CA,9qf3tk,9qf3tk1,9qf3tk5,38.25472,-120.3536,38.2555556,-120.35,2003-08-07,2003-07-20,18,2003,2003,328.0,89.43,5.0
3585,16869,monroe,WA,c2920x,c2920xb,c2920xb,47.85556,-121.9697,47.8555556,-121.9697222,2001-08-01,2001-06-15,47,2001,2001,2.0,88.56,6.0
6868,23580,pollock pines,CA,9qfk80,9qfk802,9qfk802,38.76139,-120.5856,38.7613889,-120.5855556,2003-08-17,2003-10-20,64,2003,2003,4.0,85.01,7.0
2779,3800,san diego,CA,9mudn5,9mudn59,9mudn59,32.71528,-117.1564,32.7152778,-117.1563889,1981-02-15,1981-05-01,75,1981,1981,1.0,82.94,8.0
7815,23666,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2003-10-29,78,2003,2003,0.0,82.39,9.0
1586,11649,gig harbor,WA,c22v68,c22v68h,c22v68h,47.32944,-122.5789,47.3294444,-122.5788889,1999-08-18,1999-06-01,78,1999,1999,1.0,82.38,10.0
4737,17329,chehalis,WA,c2293y,c2293yt,c2293yt,46.6622,-122.9627,46.6622222,-122.9627778,2001-05-13,2001-08-03,82,2001,2001,6.0,81.56,11.0
57013,65008,loveland,OH,dnup6s,dnup6se,dnup6s8,39.26903,-84.25986,39.2688889,-84.2638889,2013-10-12,2013-08-11,62,2013,2013,347.0,79.93,12.0
12587,4941,venice beach,FL,dhv65t,dhv65tn,dhv65tk,27.099,-82.454,27.0997222,-82.4577778,1988-08-01,1988-06-01,61,1988,1988,382.0,79.6,13.0
16823,35337,lake wales,FL,dhvyxr,dhvyxrr,dhvyxrn,27.9013,-81.58581,27.9011111,-81.5861111,2006-12-01,2007-04-02,122,2006,2007,36.0,74.41,14.0
17168,36064,grand bay,AL,dj3jms,dj3jmsp,dj3jmsp,30.47612,-88.34223,30.4761111,-88.3422222,2007-02-04,2007-06-23,139,2007,2007,1.0,72.41,15.0
10091,28424,joyce,WA,c281b7,c281b74,c281b7h,48.1368,-123.7349,48.1366667,-123.7327778,2004-10-11,2005-03-12,152,2004,2005,158.0,68.44,16.0
16823,32230,lake wales,FL,dhvyxr,dhvyxrr,dhvyxrn,27.9013,-81.58581,27.9011111,-81.5861111,2006-12-01,2006-05-06,209,2006,2006,36.0,63.13,17.0
28382,43627,lavalette,WV,dnv65b,dnv65by,dnv65b7,38.3248,-82.4438,38.3227778,-82.4469444,2008-10-15,2009-04-17,184,2008,2009,355.0,62.08,18.0
1586,13977,gig harbor,WA,c22v68,c22v68h,c22v68h,47.32944,-122.5789,47.3294444,-122.5788889,1999-08-18,2000-04-15,241,1999,2000,1.0,60.22,19.0
7815,25239,russellville,AR,9ymb8w,9ymb8wn,9ymb8wn,35.27833,-93.13361,35.2783333,-93.1336111,2003-08-12,2004-04-15,247,2003,2004,0.0,59.64,20.0
1586,14091,gig harbor,WA,c22v68,c22v68h,c22v68h,47.32944,-122.5789,47.3294444,-122.5788889,1999-08-18,2000-05-04,260,1999,2000,1.0,58.39,21.0
7804,27506,nevada city,CA,9qczq5,9qczq5w,9qczq5r,39.26361,-121.0161,39.2616667,-121.015,2004-01-04,2004-11-09,310,2004,2004,236.0,51.64,22.0
13345,32935,manchester,VT,drsj91,drsj91w,drsj91w,43.1635,-73.0723,43.1636111,-73.0727778,2005-08-25,2006-07-29,338,2005,2006,41.0,51.5,23.0
