state_code,state,2010_population,land_area_sq_miles,pop_density
AK,Alaska,710231,570641,1
AL,Alabama,4785514,50645,94
AR,Arkansas,2921998,52035,56
AZ,Arizona,6407342,113594,56
CA,California,37319550,155779,240
CO,Colorado,5047539,103642,49
CT,Connecticut,3579173,4842,739
DC,District of Columbia,605282,61,9923
DE,Delaware,899647,1949,462
FL,Florida,18846143,53625,351
GA,Georgia,9712209,57513,169
HI,Hawaii,1364004,6423,212
IA,Iowa,3050819,55857,55
ID,Idaho,1570819,82643,19
IL,Illinois,12840545,55519,231
IN,Indiana,6490555,35826,181
KS,Kansas,2858266,81759,35
KY,Kentucky,4348464,39486,110
LA,Louisiana,4544635,43204,105
MA,Massachusetts,6566440,7800,842
MD,Maryland,5788784,9707,596
ME,Maine,1327651,30843,43
MI,Michigan,9877597,56539,175
MN,Minnesota,5310934,79627,67
MO,Missouri,5996089,68742,87
MS,Mississippi,2970615,46923,63
MT,Montana,990730,145546,7
NC,North Carolina,9574586,48618,197
ND,North Dakota,674752,69001,10
NE,Nebraska,1829591,76824,24
NH,New Hampshire,1316807,8953,147
NJ,New Jersey,8799451,7354,1197
NM,New Mexico,2064614,121298,17
NV,Nevada,2702483,109781,25
NY,New York,19399956,47126,412
OH,Ohio,11539449,40861,282
OK,Oklahoma,3760014,68595,55
OR,Oregon,3837614,95988,40
PA,Pennsylvania,12711406,44743,284
RI,Rhode Island,1053994,1034,1019
SC,South Carolina,4635846,30061,154
SD,South Dakota,816193,75811,11
TN,Tennessee,6355518,41235,154
TX,Texas,25241897,261232,97
UT,Utah,2775413,82170,34
VA,Virginia,8024004,39490,203
VT,Vermont,625886,9217,68
WA,Washington,6743009,66456,101
WI,Wisconsin,5690538,54158,105
WV,West Virginia,1854265,24038,77
WY,Wyoming,564531,97093,6
