datetime,city,state,country,shape,duration_secs,comments,date posted,latitude,longitude,datetime_formatted,full_date,year,month,season,solar_kp_index,solar_ap_index,state_code,shape_group
1949-10-10 20:30:00,san marcos,tx,us,cylinder,2700,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,4/27/2004,29.8830556,-97.9411111,1949-10-10 20:30,1949-10-10,1949,10,fall,2.667,12,TX,cigar
1956-10-10 21:00:00,edna,tx,us,circle,20,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,1/17/2004,28.9783333,-96.6458333,1956-10-10 21:00,1956-10-10,1956,10,fall,2.667,12,TX,round
1960-10-10 20:00:00,kaneohe,hi,us,light,900,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/2004,21.4180556,-157.8036111,1960-10-10 20:00,1960-10-10,1960,10,fall,3.667,22,HI,light
1961-10-10 19:00:00,bristol,tn,us,sphere,300,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,4/27/2007,36.595,-82.1888889,1961-10-10 19:00,1961-10-10,1961,10,fall,1.667,6,TN,round
1965-10-10 23:45:00,norwalk,ct,us,disk,1200,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/1999,41.1175,-73.4083333,1965-10-10 23:45,1965-10-10,1965,10,fall,0.333,2,CT,round
1966-10-10 20:00:00,pell city,al,us,disk,180,Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama,3/19/2009,33.5861111,-86.2861111,1966-10-10 20:00,1966-10-10,1966,10,fall,0.0,0,AL,round
1966-10-10 21:00:00,live oak,fl,us,disk,120,Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info,5/11/2005,30.2947222,-82.9841667,1966-10-10 21:00,1966-10-10,1966,10,fall,0.0,0,FL,round
1968-10-10 13:00:00,hawthorne,ca,us,circle,300,ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .,10/31/2003,33.9163889,-118.3516667,1968-10-10 13:00,1968-10-10,1968,10,fall,0.0,0,CA,round
1968-10-10 19:00:00,brevard,nc,us,fireball,180,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,6/12/2008,35.2333333,-82.7344444,1968-10-10 19:00,1968-10-10,1968,10,fall,0.0,0,NC,light
1970-10-10 16:00:00,bellmore,ny,us,disk,1800,silver disc seen by family and neighbors,5/11/2000,40.6686111,-73.5275,1970-10-10 16:00,1970-10-10,1970,10,fall,3.667,22,NY,round
